dataset,accuracy
australian,0.555072548952
heart-statlog,0.544444444444
kr-vs-kp,0.52221527752
tic-tac-toe,0.653444738389
audiology,0.0182110635997
balance-scale,0.269519125127
car,0.203777400231
breast-cancer,0.661943724927
house-votes-84,0.568269124776
primary-tumor,0.162512240012
soybean,0.0204944444844
splice,0.51880880487
mushroom,0.482028556397
vote,0.568269124776
zoo,0.0901922465528
anneal,0.761693420319
autos,0.264120517323
breast-w,0.65522177104
colic,0.630435810807
credit-a,0.544104807016
credit-g,0.66
diabetes,0.65104188451
glass,0.145171557278
hepatitis,0.383006166495
hypothyroid,0.646178817071
ionosphere,0.358973153478
iris,0.333333333333
labor,0.439140271493
letter,0.0394500060226
lymph,0.479546728474
sonar,0.486699466709
vehicle,0.253877170496
vowel,0.0909090909091
waveform-5000,0.336910620743
spambase,0.605955231612
segment,0.142857142857
